ID,BndCd,Z,VAr,CAr,Curv,EdgL,Slp,FWidth,Aspect,SV,LV,AvSM,AvRtM,HOccr,HRt,SbOccr,SbRt,POccr,PRt,SatOccr,SatRt,SoiSatOccr,RchDsch,AvET,EvpFrct,cET,cEsoil,cLHF,cMelt,cSHF,cPHF,cRLIn,cRLo,cRSIn,cGHF,cUErr,cHrsSun,cHrsSnow,persTime,peakWE,initTime,peakTime,cIntSub,cSnSub,cSnEvap,cIntUnl,AvCanStorParam,AvIntercCoeff,AvTF,AvCanFieldCap,AvDrainCoeff,AvDrainExpPar,AvLUAlb,AvVegHeight,AvOTCoeff,AvStomRes,AvVegFract,AvLeafAI,AvEvapThresh,AvTransThresh,Bedrock_Depth_mm,Ks,ThetaS,ThetaR,PoreSize,AirEBubPress,DecayF,SatAnRatio,UnsatAnRatio,Porosity,VolHeatCond,SoilHeatCap,SoilID,LandUseID,weight
45.0,0,414.5,1951.056,0.001951056,-0.139213,28.6068,0.139213,21.9974,2.356,0.9952242,0,0.498,0.588,13,35.0,0,0,0,0,0,0,16,0.0358,0.04235,0.2542,61.89,22.39,0,0,0,0,0,0,1950878000.0,0,0,1196,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1685.379,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.0003465315252862612
46.0,0,531.5,2916.469,0.002916469,-0.550465,82.714,0.550465,11.568,0.5822,0.938022,0,0.5806,0.7785,13,33.4,0,0,0,0,0,0,15,0.067,0.04031,0.2358,57.73,17.4,0,0,0,0,0,0,1950878000.0,0,0,1197,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1150.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005180007396097789
47.0,0,437.8,886.8296,0.0008868296,-0.13703,26.0852,0.13703,26.7381,2.16,0.9953708,0,0.5286,0.6543,13,35.9,0,0,0,0,0,0,16,0.0434,0.04039,0.2457,59.49,23.2,0,0,0,0,0,0,1950878000.0,0,0,1196,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1448.786,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,2,1,0.00015751183664487585
48.0,0,442.5,918.933,0.000918933,-0.179576,19.2223,0.179576,20.796,2.29,0.992128,0,0.5314,0.661,13,35.9,0,0,0,0,0,0,16,0.0452,0.04029,0.2453,59.44,23.26,0,0,0,0,0,0,1950878000.0,0,0,1196,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1430.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,2,1,0.00016321379505553906
49.0,0,550.3,2971.734,0.002971734,-0.613877,57.1949,0.613877,29.7193,0.5301,0.9261156,0,0.5799,0.7764,13,32.6,0,0,0,0,0,0,15,0.0558,0.04043,0.2359,57.22,17.66,0,0,0,0,0,0,1950878000.0,0,0,1219,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1152.964,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005278164828508469
50.0,0,773.6,3983.444,0.003983444,-0.760045,100.745,0.760045,25.6257,3.007,0.8980725,0,0.5644,0.7421,13,30.7,0,0,0,0,0,0,15,0.0544,0.04083,0.25,59.89,25.35,0,0,0,0,0,0,1950878000.0,0,0,1015,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1232.005,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0007075086133931601
51.0,0,556.8,3371.821,0.003371821,-0.642795,64.7381,0.642795,31.1809,6.011,0.9206011,0,0.5791,0.7747,13,32.1,0,0,0,0,0,0,15,0.0596,0.04151,0.2419,58.8,18.01,0,0,0,0,0,0,1950878000.0,0,0,1259,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1157.116,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005988768513677958
52.0,0,797.7,4681.841,0.004681841,-0.998603,100.745,0.998603,69.9767,3.492,0.8538004,0,0.5574,0.7239,12,28.0,0,0,0,0,0,0,14,0.041,0.04292,0.2526,62.36,25.83,0,0,0,0,0,0,1950878000.0,0,0,1085,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1270.025,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0008315525043247115
53.0,0,798.6,2934.377,0.002934377,-0.843829,71.9653,0.843829,27.3709,2.122,0.8821308,0,0.5571,0.7246,13,29.0,0,0,0,0,0,0,15,0.058,0.0418,0.2521,59.23,24.3,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1271.695,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005211814205101869
54.0,0,567.2,3109.746,0.003109746,-0.49486,59.4754,0.49486,39.5809,6.203,0.9481311,0,0.5785,0.7736,13,34.0,0,0,0,0,0,0,15,0.0523,0.0407,0.2393,58.54,17.18,0,0,0,0,0,0,1950878000.0,0,0,1269,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1160.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005523291103037789
55.0,0,785.3,3209.38,0.00320938,-0.657994,71.9653,0.657994,26.084,2.736,0.9176896,0,0.5556,0.721,13,31.9,0,0,0,0,0,0,15,0.0497,0.04072,0.2502,59.34,24.51,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1280.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005700253332673285
56.0,0,571.8,3177.119,0.003177119,-0.610797,72.5487,0.610797,29.4662,0.1663,0.9267005,0,0.577,0.7704,13,32.5,0,0,0,0,0,0,15,0.0562,0.04101,0.2407,57.83,17.86,0,0,0,0,0,0,1950878000.0,0,0,1269,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1167.12,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005642953831596638
57.0,0,762.3,3527.585,0.003527585,-0.817723,88.9963,0.817723,14.0556,2.362,0.8870657,0,0.5556,0.7212,13,29.3,0,0,0,0,0,0,15,0.0618,0.04175,0.2531,59.92,24.47,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1280.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0006265424522037992
58.0,0,574.7,2925.429,0.002925429,-0.649479,72.7118,0.649479,13.0332,5.776,0.9193215,0,0.575,0.7659,13,31.8,0,0,0,0,0,0,15,0.0527,0.04189,0.2407,59.45,18.3,0,0,0,0,0,0,1950878000.0,0,0,1220,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.6,1.5,1.0,4.7,0.18,1.0,0.4,200,0.4,1.5,0.4,0.1,1176.986,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,2,0.0005195921457337267
59.0,0,740.9,3249.516,0.003249516,-0.76608,67.0416,0.76608,44.485,2.888,0.8969156,0,0.5556,0.7207,13,30.2,0,0,0,0,0,0,15,0.0504,0.04125,0.252,60.16,24.73,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1280.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005771539801636192
